time,fcacc,rlvacc,frtjacc,frtmacc,fbracc,rlwacc,crtacc,rleavc,frootcj,frootcm,fbrchc,rlwodc,crootc,strucc(1),strucc(2),metabc(1),metabc(2),som1c(1),som1c(2),som2c(1),som2c(2),som3c,dslit,dsom2c(1),dsom2c(2),dsom3c,dsomtc,dsomsc,nppt,nstemp,natemp,Condition
1996.67,542.0784,183.7633,179.2229,9.4328,30.5387,111.9753,27.1455,184.4462,203.5463,147.1609,798.7926,6188.494,1500.241,453.2543,247.6545,24.0515,44.6494,33.0573,74.6972,800.1927,2543.448,2975.021,146.7077,254.5568,187.0911,-12.8864,84.3253,79.8943,0.4543333333,15.05345667,14.7725,N_addition
1996.75,564.2162,183.7633,200.2538,10.5397,30.5387,111.9753,27.1455,184.4462,199.4372,150.5877,796.3997,6185.403,1499.491,433.6673,245.1904,18.775,40.2117,30.2132,72.2513,799.5566,2544.229,2975.157,146.9828,253.1824,187.0158,-12.8787,84.1569,79.8452,0.3264516129,6.305993548,7.538709677,N_addition
1996.83,570.5765,183.7633,206.296,10.8577,30.5387,111.9753,27.1455,99.5524,188.3343,149.1347,794.014,6182.315,1498.741,482.7548,245.1662,43.6003,43.3286,29.8381,71.0838,799.1324,2544.19,2975.227,141.2229,252.5856,186.9694,-12.875,84.0951,79.8084,0.39,1.458843333,3.26,N_addition
1996.92,570.5765,183.7633,206.296,10.8577,30.5387,111.9753,27.1455,0.6882,171.1344,146.0406,791.6354,6179.225,1497.991,543.7167,246.8996,71.0579,50.7992,31.7051,70.8422,799.1082,2544.258,2975.267,136.3125,252.1561,186.9507,-12.8727,84.1041,79.7953,0.3458064516,-0.8446870968,-2.217741935,N_addition
1997,0,0,0,0,0,0,0,0.6882,153.0475,142.4216,789.2638,6176.137,1497.241,539.4622,249.491,68.2484,60.14,33.2321,71.0913,799.2073,2544.344,2975.294,136.2999,251.8359,186.9346,-12.8703,84.1397,79.7885,0.4735483871,-0.2706548387,-10.16532258,N_addition
1997.08,0,0,0,0,0,0,0,0.6882,136.4349,138.792,786.8995,6173.049,1496.492,535.3516,251.8577,65.628,67.99,34.4752,71.7255,799.3481,2544.582,2975.317,136.2976,251.5177,186.9142,-12.8666,84.1725,79.7858,0.1846428571,0,-6.74375,N_addition
1997.17,0,0,0,0,0,0,0,0.6882,121.9794,135.3435,784.5422,6169.959,1495.744,531.5213,253.7154,63.2415,73.4062,35.4474,72.6575,799.5128,2544.705,2975.351,136.3046,251.2159,186.8901,-12.8673,84.1866,79.7785,0.5070967742,0,0.2943548387,N_addition
1997.25,0,0,0,0,0,0,0,0.6882,109.0266,131.9724,782.192,6166.871,1494.994,527.0992,255.2128,60.3512,77.3941,36.3403,73.7675,799.7277,2544.82,2975.374,136.3358,250.8711,186.8727,-12.8631,84.1992,79.7781,0.3346666667,6.95009,7.7575,N_addition
1997.33,14.8587,13.3729,1.4116,0.0743,0,0,0,14.0611,100.3865,129.3934,779.8488,6163.795,1494.247,519.4245,255.1479,54.7112,74.1874,37.3577,75.5921,800.1227,2544.981,2975.421,136.4623,250.3018,186.847,-12.86,84.1584,79.7764,0.3458064516,13.09192581,11.66532258,N_addition
1997.42,171.2202,148.9035,21.2009,1.1158,0,0,0,149.5917,110.8754,129.0359,777.5128,6160.707,1493.502,503.1257,252.8828,43.4903,62.4135,37.8866,77.4117,800.9742,2546.325,2975.509,136.8066,249.1087,186.7981,-12.8561,84.0523,79.7829,0.269,19.85703667,18.42333333,N_addition
1997.5,225.6478,180.9897,42.4252,2.2329,0,0,0,181.6779,116.7617,130.8737,775.1837,6157.631,1492.755,483.8293,252.7194,33.1242,58.0185,36.6492,77.9226,801.7961,2549.394,2975.579,137.2003,247.6858,186.7886,-12.8523,84.0412,79.8347,0.5632258065,22.29899032,21.09435484,N_addition
1997.58,445.2095,184.0703,128.9867,6.7888,22.5655,82.7401,20.0582,184.7585,177.6942,139.1207,795.3956,6237.273,1512.062,458.2534,249.5433,23.2192,45.2197,33.3716,76.5452,802.128,2551.215,2975.74,137.6572,245.8458,186.6641,-12.8437,83.8344,79.7921,0.48,18.61051935,17.78387097,N_addition
